sample_id,image_path,gt_x1,gt_y1,gt_x2,gt_y2,gt_x3,gt_y3,gt_x4,gt_y4
1,thumb_000001_f00000030.jpg,,,,,,,,
2,thumb_000002_f00000060.jpg,,,,,,,,
3,thumb_000003_f00000090.jpg,,,,,,,,
4,thumb_000004_f00000120.jpg,,,,,,,,
5,thumb_000005_f00000150.jpg,,,,,,,,
6,thumb_000006_f00000180.jpg,,,,,,,,
7,thumb_000007_f00000210.jpg,,,,,,,,
8,thumb_000008_f00000240.jpg,,,,,,,,
9,thumb_000009_f00000270.jpg,,,,,,,,
10,thumb_000010_f00000300.jpg,,,,,,,,
11,thumb_000011_f00000330.jpg,,,,,,,,
12,thumb_000012_f00000360.jpg,,,,,,,,
13,thumb_000013_f00000390.jpg,,,,,,,,
14,thumb_000014_f00000420.jpg,,,,,,,,
15,thumb_000015_f00000450.jpg,,,,,,,,
16,thumb_000016_f00000480.jpg,,,,,,,,
17,thumb_000017_f00000510.jpg,,,,,,,,
18,thumb_000018_f00000540.jpg,,,,,,,,
19,thumb_000019_f00000570.jpg,,,,,,,,
20,thumb_000020_f00000600.jpg,,,,,,,,
21,thumb_000021_f00000630.jpg,,,,,,,,
22,thumb_000022_f00000660.jpg,,,,,,,,
23,thumb_000023_f00000690.jpg,,,,,,,,
24,thumb_000024_f00000720.jpg,,,,,,,,
25,thumb_000025_f00000750.jpg,,,,,,,,
26,thumb_000026_f00000780.jpg,,,,,,,,
27,thumb_000027_f00000810.jpg,,,,,,,,
28,thumb_000028_f00000840.jpg,,,,,,,,
29,thumb_000029_f00000870.jpg,,,,,,,,
30,thumb_000030_f00000900.jpg,,,,,,,,
31,thumb_000031_f00000930.jpg,,,,,,,,
32,thumb_000032_f00000960.jpg,,,,,,,,
33,thumb_000033_f00000990.jpg,,,,,,,,
34,thumb_000034_f00001020.jpg,,,,,,,,
35,thumb_000035_f00001050.jpg,,,,,,,,
36,thumb_000036_f00001080.jpg,,,,,,,,
37,thumb_000037_f00001110.jpg,,,,,,,,
38,thumb_000038_f00001140.jpg,,,,,,,,
39,thumb_000039_f00001170.jpg,,,,,,,,
40,thumb_000040_f00001200.jpg,,,,,,,,
41,thumb_000041_f00001230.jpg,,,,,,,,
42,thumb_000042_f00001260.jpg,,,,,,,,
43,thumb_000043_f00001290.jpg,,,,,,,,
44,thumb_000044_f00001320.jpg,,,,,,,,
45,thumb_000045_f00001350.jpg,,,,,,,,
46,thumb_000046_f00001380.jpg,,,,,,,,
47,thumb_000047_f00001410.jpg,,,,,,,,
48,thumb_000048_f00001440.jpg,,,,,,,,
49,thumb_000049_f00001470.jpg,,,,,,,,
50,thumb_000050_f00001500.jpg,,,,,,,,
51,thumb_000051_f00001530.jpg,,,,,,,,
52,thumb_000052_f00001560.jpg,,,,,,,,
53,thumb_000053_f00001590.jpg,,,,,,,,
54,thumb_000054_f00001620.jpg,,,,,,,,
55,thumb_000055_f00001650.jpg,,,,,,,,
56,thumb_000056_f00001680.jpg,,,,,,,,
57,thumb_000057_f00001710.jpg,,,,,,,,
58,thumb_000058_f00001740.jpg,,,,,,,,
59,thumb_000059_f00001770.jpg,,,,,,,,
60,thumb_000060_f00001800.jpg,,,,,,,,
61,thumb_000061_f00001830.jpg,,,,,,,,
62,thumb_000062_f00001860.jpg,,,,,,,,
63,thumb_000063_f00001890.jpg,,,,,,,,
64,thumb_000064_f00001920.jpg,,,,,,,,
65,thumb_000065_f00001950.jpg,,,,,,,,
